action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,223.59640121,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,10070.75455393,0.0,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
SHORT,SELL,226.30999756,227.44154755,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,20141.50910786,44.49982176,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
COVER,BUY,223.66999817,-1.0,0,1720447200,2024-07-08 14:00:00,223.66999817,0.0,10188.234056240002,0.0,10188.23405624,0.01882,1720447200,2024-07-08 14:00:00
LONG,BUY,223.66999817,222.55164818,0,1720447200,2024-07-08 14:00:00,223.66999817,45.55029347,0.0,0.0,10188.23405708,0.01882,1720447200,2024-07-08 14:00:00
CLOSE,SELL,227.80000305,-1.0,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,10376.35699139,0.0,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
SHORT,SELL,227.80000305,228.93900307,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,20752.71398278,45.55029347,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
COVER,BUY,228.93900307,-1.0,1,1720535400,2024-07-09 14:30:00,228.52999878,0.0,10324.475206209998,0.0,10324.47520621,0.03245,1720535400,2024-07-09 14:30:00
LONG,BUY,228.69999695,227.55649697,0,1720555200,2024-07-09 20:00:00,228.69999695,45.14418602,0.0,0.0,10324.47520508,0.03245,1720555200,2024-07-09 20:00:00
CLOSE,SELL,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,10432.8216646,0.0,10432.8216646,0.04328,1720621800,2024-07-10 14:30:00
SHORT,SELL,231.1000061,232.25550613,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,20865.6433292,45.14418602,10432.8216646,0.04328,1720621800,2024-07-10 14:30:00
COVER,BUY,232.25550613,-1.0,1,1720629000,2024-07-10 16:30:00,232.19500732,0.0,10380.6575563,0.0,10380.6575563,0.03807,1720629000,2024-07-10 16:30:00
LONG,BUY,226.86000061,225.72570061,0,1720713600,2024-07-11 16:00:00,226.86000061,45.75798963,0.0,0.0,10380.65755537,0.03807,1720713600,2024-07-11 16:00:00
CLOSE,SELL,227.97999573,-1.0,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,10431.90628046,0.0,10431.90628046,0.04319,1720719000,2024-07-11 17:30:00
SHORT,SELL,227.97999573,229.11989571,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,20863.81256092,45.75798963,10431.90628046,0.04319,1720719000,2024-07-11 17:30:00
COVER,BUY,229.11989571,-1.0,1,1720792800,2024-07-12 14:00:00,231.3500061,0.0,10379.746749,0.0,10379.746749,0.03797,1720792800,2024-07-12 14:00:00
SHORT,SELL,231.8598938,233.01919327,0,1720812600,2024-07-12 19:30:00,231.8598938,0.0,20759.493498,44.76732297,10379.74674847,0.03797,1720812600,2024-07-12 19:30:00
COVER,BUY,236.53199768,-1.0,2,1721052000,2024-07-15 14:00:00,234.49009705,0.0,10170.58916512,0.0,10170.58916512,0.01706,1721052000,2024-07-15 14:00:00
LONG,BUY,234.49009705,233.31764656,0,1721052000,2024-07-15 14:00:00,234.49009705,43.37321402,0.0,0.0,10170.58916492,0.01706,1721052000,2024-07-15 14:00:00
CLOSE,SELL,235.501297,-1.0,0,1721055600,2024-07-15 15:00:00,235.501297,0.0,10214.44815677,0.0,10214.44815677,0.02144,1721055600,2024-07-15 15:00:00
SHORT,SELL,235.6000061,236.77800613,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,20428.89631354,43.35504199,10214.44815623,0.02144,1721057400,2024-07-15 15:30:00
COVER,BUY,235.08999634,-1.0,0,1721059200,2024-07-15 16:00:00,235.08999634,0.0,10236.55965079,0.0,10236.55965079,0.02366,1721059200,2024-07-15 16:00:00
LONG,BUY,235.08999634,233.91454636,0,1721059200,2024-07-15 16:00:00,235.08999634,43.54315288,0.0,0.0,10236.55965119,0.02366,1721059200,2024-07-15 16:00:00
CLOSE,SELL,233.91454636,-1.0,1,1721068200,2024-07-15 18:30:00,234.20500183,0.0,10185.37685301,0.0,10185.37685301,0.01854,1721068200,2024-07-15 18:30:00
SHORT,SELL,234.3999939,235.57199387,0,1721138400,2024-07-16 14:00:00,234.3999939,0.0,20370.75370602,43.45297405,10185.37685376,0.01854,1721138400,2024-07-16 14:00:00
COVER,BUY,233.91000366,-1.0,0,1721145600,2024-07-16 16:00:00,233.91000366,0.0,10206.668386950001,0.0,10206.66838695,0.02067,1721145600,2024-07-16 16:00:00
LONG,BUY,233.91000366,232.74045364,0,1721145600,2024-07-16 16:00:00,233.91000366,43.63502299,0.0,0.0,10206.6683873,0.02067,1721145600,2024-07-16 16:00:00
CLOSE,SELL,232.74045364,-1.0,1,1721147400,2024-07-16 16:30:00,232.94790649,0.0,10155.63504528,0.0,10155.63504528,0.01556,1721147400,2024-07-16 16:30:00
SHORT,SELL,229.00999451,230.15504448,0,1721224800,2024-07-17 14:00:00,229.00999451,0.0,20311.27009056,44.34581585,10155.63504621,0.01556,1721224800,2024-07-17 14:00:00
COVER,BUY,227.82000732,-1.0,0,1721226600,2024-07-17 14:30:00,227.82000732,0.0,10208.405998999999,0.0,10208.405999,0.02084,1721226600,2024-07-17 14:30:00
LONG,BUY,227.82000732,226.68090728,0,1721226600,2024-07-17 14:30:00,227.82000732,44.80908468,0.0,0.0,10208.4059998,0.02084,1721226600,2024-07-17 14:30:00
CLOSE,SELL,227.77000427,-1.0,0,1721228400,2024-07-17 15:00:00,227.77000427,0.0,10206.1654089,0.0,10206.1654089,0.02062,1721228400,2024-07-17 15:00:00
SHORT,SELL,227.77000427,228.90885429,0,1721228400,2024-07-17 15:00:00,227.77000427,0.0,20412.3308178,44.80908468,10206.1654089,0.02062,1721228400,2024-07-17 15:00:00
COVER,BUY,228.61999512,-1.0,0,1721230200,2024-07-17 15:30:00,228.61999512,0.0,10168.078096930001,0.0,10168.07809693,0.01681,1721230200,2024-07-17 15:30:00
SHORT,SELL,228.6309967,229.77415168,0,1721239200,2024-07-17 18:00:00,228.6309967,0.0,20336.156193860003,44.47375134,10168.07809801,0.01681,1721239200,2024-07-17 18:00:00
COVER,BUY,229.77415168,-1.0,1,1721241000,2024-07-17 18:30:00,229.519104,0.0,10117.237707680002,0.0,10117.23770768,0.01172,1721241000,2024-07-17 18:30:00
LONG,BUY,227.02999878,225.89484879,0,1721311200,2024-07-18 14:00:00,227.02999878,44.56343991,0.0,0.0,10117.2377084,0.01172,1721311200,2024-07-18 14:00:00
CLOSE,SELL,225.89484879,-1.0,1,1721314800,2024-07-18 15:00:00,226.58999634,0.0,10066.65152003,0.0,10066.65152003,0.00667,1721314800,2024-07-18 15:00:00
SHORT,SELL,226.58999634,227.72294632,0,1721314800,2024-07-18 15:00:00,226.58999634,0.0,20133.30304006,44.42672529,10066.6515192,0.00667,1721314800,2024-07-18 15:00:00
COVER,BUY,224.21000671,-1.0,0,1721322000,2024-07-18 17:00:00,224.21000671,0.0,10172.38666469,0.0,10172.38666469,0.01724,1721322000,2024-07-18 17:00:00
LONG,BUY,225.82000732,224.69090728,0,1721397600,2024-07-19 14:00:00,225.82000732,45.0464367,0.0,0.0,10172.38666533,0.01724,1721397600,2024-07-19 14:00:00
CLOSE,SELL,224.69090728,-1.0,1,1721401200,2024-07-19 15:00:00,224.80000305,0.0,10121.52473185,0.0,10121.52473185,0.01215,1721401200,2024-07-19 15:00:00
LONG,BUY,225.00999451,223.88494454,0,1721417400,2024-07-19 19:30:00,225.00999451,44.98255624,0.0,0.0,10121.52473261,0.01215,1721417400,2024-07-19 19:30:00
CLOSE,SELL,226.80000305,-1.0,0,1721658600,2024-07-22 14:30:00,226.80000305,0.0,10202.04389243,0.0,10202.04389243,0.0202,1721658600,2024-07-22 14:30:00
LONG,BUY,225.94000244,224.81030243,0,1721660400,2024-07-22 15:00:00,225.94000244,45.15377437,0.0,0.0,10202.04389133,0.0202,1721660400,2024-07-22 15:00:00
