action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,220.2256012,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,10070.75455393,0.0,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
SHORT,SELL,226.30999756,230.83619751,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,20141.50910786,44.49982176,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
COVER,BUY,223.66999817,-1.0,0,1720447200,2024-07-08 14:00:00,223.66999817,0.0,10188.234056240002,0.0,10188.23405624,0.01882,1720447200,2024-07-08 14:00:00
LONG,BUY,223.66999817,219.19659821,0,1720447200,2024-07-08 14:00:00,223.66999817,45.55029347,0.0,0.0,10188.23405708,0.01882,1720447200,2024-07-08 14:00:00
CLOSE,SELL,227.80000305,-1.0,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,10376.35699139,0.0,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
SHORT,SELL,227.80000305,232.35600311,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,20752.71398278,45.55029347,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
COVER,BUY,228.69999695,-1.0,0,1720555200,2024-07-09 20:00:00,228.69999695,0.0,10335.362005119998,0.0,10335.36200512,0.03354,1720555200,2024-07-09 20:00:00
LONG,BUY,228.69999695,224.12599701,0,1720555200,2024-07-09 20:00:00,228.69999695,45.19178899,0.0,0.0,10335.36200418,0.03354,1720555200,2024-07-09 20:00:00
CLOSE,SELL,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,10443.82271126,0.0,10443.82271126,0.04438,1720621800,2024-07-10 14:30:00
SHORT,SELL,231.1000061,235.72200622,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,20887.64542252,45.19178899,10443.82271126,0.04438,1720621800,2024-07-10 14:30:00
COVER,BUY,226.86000061,-1.0,0,1720713600,2024-07-11 16:00:00,226.86000061,0.0,10635.43614468,0.0,10635.43614468,0.06354,1720713600,2024-07-11 16:00:00
LONG,BUY,226.86000061,222.3228006,0,1720713600,2024-07-11 16:00:00,226.86000061,46.88105491,0.0,0.0,10635.43614548,0.06354,1720713600,2024-07-11 16:00:00
CLOSE,SELL,227.97999573,-1.0,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,10687.9426982,0.0,10687.9426982,0.06879,1720719000,2024-07-11 17:30:00
SHORT,SELL,227.97999573,232.53959564,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,21375.8853964,46.88105491,10687.9426982,0.06879,1720719000,2024-07-11 17:30:00
COVER,BUY,232.53959564,-1.0,1,1720807200,2024-07-12 18:00:00,232.29499817,0.0,10474.18384445,0.0,10474.18384445,0.04742,1720807200,2024-07-12 18:00:00
SHORT,SELL,231.8598938,236.49709168,0,1720812600,2024-07-12 19:30:00,231.8598938,0.0,20948.3676889,45.17462539,10474.18384352,0.04742,1720812600,2024-07-12 19:30:00
COVER,BUY,236.53199768,-1.0,2,1721052000,2024-07-15 14:00:00,234.49009705,0.0,10263.123300960002,0.0,10263.12330096,0.02631,1721052000,2024-07-15 14:00:00
LONG,BUY,234.49009705,229.80029511,0,1721052000,2024-07-15 14:00:00,234.49009705,43.76783254,0.0,0.0,10263.12329997,0.02631,1721052000,2024-07-15 14:00:00
CLOSE,SELL,235.501297,-1.0,0,1721055600,2024-07-15 15:00:00,235.501297,0.0,10307.38133005,0.0,10307.38133005,0.03074,1721055600,2024-07-15 15:00:00
SHORT,SELL,235.6000061,240.31200622,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,20614.7626601,43.74949517,10307.38133118,0.03074,1721057400,2024-07-15 15:30:00
COVER,BUY,235.08999634,-1.0,0,1721059200,2024-07-15 16:00:00,235.08999634,0.0,10329.69400071,0.0,10329.69400071,0.03297,1721059200,2024-07-15 16:00:00
LONG,BUY,235.08999634,230.38819641,0,1721059200,2024-07-15 16:00:00,235.08999634,43.93931754,0.0,0.0,10329.69399966,0.03297,1721059200,2024-07-15 16:00:00
CLOSE,SELL,234.3999939,-1.0,0,1721138400,2024-07-16 14:00:00,234.3999939,0.0,10299.37576335,0.0,10299.37576335,0.02994,1721138400,2024-07-16 14:00:00
SHORT,SELL,234.3999939,239.08799378,0,1721138400,2024-07-16 14:00:00,234.3999939,0.0,20598.7515267,43.93931754,10299.37576335,0.02994,1721138400,2024-07-16 14:00:00
COVER,BUY,233.91000366,-1.0,0,1721145600,2024-07-16 16:00:00,233.91000366,0.0,10320.9056001,0.0,10320.9056001,0.03209,1721145600,2024-07-16 16:00:00
LONG,BUY,233.91000366,229.23180359,0,1721145600,2024-07-16 16:00:00,233.91000366,44.12340404,0.0,0.0,10320.90560049,0.03209,1721145600,2024-07-16 16:00:00
CLOSE,SELL,229.23180359,-1.0,1,1721224800,2024-07-17 14:00:00,229.00999451,0.0,10114.48748862,0.0,10114.48748862,0.01145,1721224800,2024-07-17 14:00:00
SHORT,SELL,229.00999451,233.5901944,0,1721224800,2024-07-17 14:00:00,229.00999451,0.0,20228.97497724,44.16614004,10114.48748915,0.01145,1721224800,2024-07-17 14:00:00
