action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,213.48400116,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,10070.75455393,0.0,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
SHORT,SELL,226.30999756,237.62549744,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,20141.50910786,44.49982176,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
COVER,BUY,227.33000183,-1.0,0,1720463400,2024-07-08 18:30:00,227.33000183,0.0,10025.364545720002,0.0,10025.36454572,0.00254,1720463400,2024-07-08 18:30:00
SHORT,SELL,226.82499695,238.1662468,0,1720467000,2024-07-08 19:30:00,226.82499695,0.0,20050.729091440004,44.19867599,10025.36454481,0.00254,1720467000,2024-07-08 19:30:00
COVER,BUY,228.00999451,-1.0,0,1720546200,2024-07-09 17:30:00,228.00999451,0.0,9972.989221610003,0.0,9972.98922161,-0.0027,1720546200,2024-07-09 17:30:00
SHORT,SELL,231.30130005,242.86636505,0,1720620000,2024-07-10 14:00:00,231.30130005,0.0,19945.978443220007,43.11687491,9972.98922244,-0.0027,1720620000,2024-07-10 14:00:00
COVER,BUY,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,9981.668388510006,0.0,9981.66838851,-0.00183,1720621800,2024-07-10 14:30:00
LONG,BUY,231.1000061,219.54500579,0,1720621800,2024-07-10 14:30:00,231.1000061,43.19198669,0.0,0.0,9981.66838753,-0.00183,1720621800,2024-07-10 14:30:00
CLOSE,SELL,232.19500732,-1.0,0,1720629000,2024-07-10 16:30:00,232.19500732,0.0,10028.96366565,0.0,10028.96366565,0.0029,1720629000,2024-07-10 16:30:00
SHORT,SELL,232.19500732,243.80475769,0,1720629000,2024-07-10 16:30:00,232.19500732,0.0,20057.9273313,43.19198669,10028.96366565,0.0029,1720629000,2024-07-10 16:30:00
COVER,BUY,231.32400513,-1.0,0,1720630800,2024-07-10 17:00:00,231.32400513,0.0,10066.58398065,0.0,10066.58398065,0.00666,1720630800,2024-07-10 17:00:00
LONG,BUY,231.32400513,219.75780487,0,1720630800,2024-07-10 17:00:00,231.32400513,43.51724749,0.0,0.0,10066.58398162,0.00666,1720630800,2024-07-10 17:00:00
CLOSE,SELL,231.96000671,-1.0,0,1720634400,2024-07-10 18:00:00,231.96000671,0.0,10094.26101978,0.0,10094.26101978,0.00943,1720634400,2024-07-10 18:00:00
SHORT,SELL,231.96000671,243.55800705,0,1720634400,2024-07-10 18:00:00,231.96000671,0.0,20188.52203956,43.51724749,10094.26101978,0.00943,1720634400,2024-07-10 18:00:00
