action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,202.2480011,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,10070.75455393,0.0,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
SHORT,SELL,226.30999756,248.94099732,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,20141.50910786,44.49982176,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
COVER,BUY,223.66999817,-1.0,0,1720447200,2024-07-08 14:00:00,223.66999817,0.0,10188.234056240002,0.0,10188.23405624,0.01882,1720447200,2024-07-08 14:00:00
LONG,BUY,223.66999817,201.30299835,0,1720447200,2024-07-08 14:00:00,223.66999817,45.55029347,0.0,0.0,10188.23405708,0.01882,1720447200,2024-07-08 14:00:00
CLOSE,SELL,227.80000305,-1.0,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,10376.35699139,0.0,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
SHORT,SELL,227.80000305,250.58000336,0,1720468800,2024-07-08 20:00:00,227.80000305,0.0,20752.71398278,45.55029347,10376.35699139,0.03764,1720468800,2024-07-08 20:00:00
COVER,BUY,228.69999695,-1.0,0,1720555200,2024-07-09 20:00:00,228.69999695,0.0,10335.362005119998,0.0,10335.36200512,0.03354,1720555200,2024-07-09 20:00:00
LONG,BUY,228.69999695,205.82999726,0,1720555200,2024-07-09 20:00:00,228.69999695,45.19178899,0.0,0.0,10335.36200418,0.03354,1720555200,2024-07-09 20:00:00
CLOSE,SELL,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,10443.82271126,0.0,10443.82271126,0.04438,1720621800,2024-07-10 14:30:00
SHORT,SELL,231.1000061,254.21000671,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,20887.64542252,45.19178899,10443.82271126,0.04438,1720621800,2024-07-10 14:30:00
COVER,BUY,226.86000061,-1.0,0,1720713600,2024-07-11 16:00:00,226.86000061,0.0,10635.43614468,0.0,10635.43614468,0.06354,1720713600,2024-07-11 16:00:00
LONG,BUY,226.86000061,204.17400055,0,1720713600,2024-07-11 16:00:00,226.86000061,46.88105491,0.0,0.0,10635.43614548,0.06354,1720713600,2024-07-11 16:00:00
CLOSE,SELL,227.97999573,-1.0,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,10687.9426982,0.0,10687.9426982,0.06879,1720719000,2024-07-11 17:30:00
SHORT,SELL,227.97999573,250.7779953,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,21375.8853964,46.88105491,10687.9426982,0.06879,1720719000,2024-07-11 17:30:00
COVER,BUY,232.29499817,-1.0,0,1720807200,2024-07-12 18:00:00,232.29499817,0.0,10485.650831870002,0.0,10485.65083187,0.04857,1720807200,2024-07-12 18:00:00
SHORT,SELL,231.8598938,255.04588318,0,1720812600,2024-07-12 19:30:00,231.8598938,0.0,20971.301663740003,45.22408192,10485.65083257,0.04857,1720812600,2024-07-12 19:30:00
COVER,BUY,234.49009705,-1.0,0,1721052000,2024-07-15 14:00:00,234.49009705,0.0,10366.702305320003,0.0,10366.70230532,0.03667,1721052000,2024-07-15 14:00:00
LONG,BUY,234.49009705,211.04108734,0,1721052000,2024-07-15 14:00:00,234.49009705,44.20955271,0.0,0.0,10366.7023055,0.03667,1721052000,2024-07-15 14:00:00
CLOSE,SELL,235.501297,-1.0,0,1721055600,2024-07-15 15:00:00,235.501297,0.0,10411.40700299,0.0,10411.40700299,0.04114,1721055600,2024-07-15 15:00:00
SHORT,SELL,235.6000061,259.16000671,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,20822.81400598,44.19103028,10411.40700245,0.04114,1721057400,2024-07-15 15:30:00
COVER,BUY,235.08999634,-1.0,0,1721059200,2024-07-15 16:00:00,235.08999634,0.0,10433.944859189998,0.0,10433.94485919,0.04339,1721059200,2024-07-15 16:00:00
LONG,BUY,235.08999634,211.58099671,0,1721059200,2024-07-15 16:00:00,235.08999634,44.38276839,0.0,0.0,10433.94485836,0.04339,1721059200,2024-07-15 16:00:00
CLOSE,SELL,234.3999939,-1.0,0,1721138400,2024-07-16 14:00:00,234.3999939,0.0,10403.32063988,0.0,10403.32063988,0.04033,1721138400,2024-07-16 14:00:00
SHORT,SELL,234.3999939,257.83999329,0,1721138400,2024-07-16 14:00:00,234.3999939,0.0,20806.64127976,44.38276839,10403.32063988,0.04033,1721138400,2024-07-16 14:00:00
COVER,BUY,233.91000366,-1.0,0,1721145600,2024-07-16 16:00:00,233.91000366,0.0,10425.06776321,0.0,10425.06776321,0.04251,1721145600,2024-07-16 16:00:00
