action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,220.2256012,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,225.13499451,-1.0,0,1720202400,2024-07-05 18:00:00,225.13499451,0.0,10018.46712763,0.0,10018.46712763,0.00185,1720202400,2024-07-05 18:00:00
SHORT,SELL,225.13499451,229.6376944,0,1720202400,2024-07-05 18:00:00,225.13499451,0.0,20036.93425526,44.49982176,10018.46712763,0.00185,1720202400,2024-07-05 18:00:00
COVER,BUY,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,9966.179701329998,0.0,9966.17970133,-0.00338,1720209600,2024-07-05 20:00:00
LONG,BUY,226.30999756,221.78379761,0,1720209600,2024-07-05 20:00:00,226.30999756,44.037735,0.0,0.0,9966.1797004,-0.00338,1720209600,2024-07-05 20:00:00
CLOSE,SELL,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,10177.12082713,0.0,10177.12082713,0.01771,1720621800,2024-07-10 14:30:00
SHORT,SELL,231.1000061,235.72200622,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,20354.24165426,44.037735,10177.12082713,0.01771,1720621800,2024-07-10 14:30:00
COVER,BUY,230.99499512,-1.0,0,1720625400,2024-07-10 15:30:00,230.99499512,0.0,10181.74527284,0.0,10181.74527284,0.01817,1720625400,2024-07-10 15:30:00
LONG,BUY,230.99499512,226.37509522,0,1720625400,2024-07-10 15:30:00,230.99499512,44.07777436,0.0,0.0,10181.74527319,0.01817,1720625400,2024-07-10 15:30:00
CLOSE,SELL,231.27999878,-1.0,0,1720627200,2024-07-10 16:00:00,231.27999878,0.0,10194.30760021,0.0,10194.30760021,0.01943,1720627200,2024-07-10 16:00:00
SHORT,SELL,231.27999878,235.90559876,0,1720627200,2024-07-10 16:00:00,231.27999878,0.0,20388.61520042,44.07777436,10194.30760021,0.01943,1720627200,2024-07-10 16:00:00
COVER,BUY,232.19500732,-1.0,0,1720629000,2024-07-10 16:30:00,232.19500732,0.0,10153.976060250001,0.0,10153.97606025,0.0154,1720629000,2024-07-10 16:30:00
LONG,BUY,232.19500732,227.55110717,0,1720629000,2024-07-10 16:30:00,232.19500732,43.73038067,0.0,0.0,10153.97605978,0.0154,1720629000,2024-07-10 16:30:00
CLOSE,SELL,231.32400513,-1.0,0,1720630800,2024-07-10 17:00:00,231.32400513,0.0,10115.88680244,0.0,10115.88680244,0.01159,1720630800,2024-07-10 17:00:00
SHORT,SELL,231.32400513,235.95048523,0,1720630800,2024-07-10 17:00:00,231.32400513,0.0,20231.77360488,43.73038067,10115.88680244,0.01159,1720630800,2024-07-10 17:00:00
COVER,BUY,231.75999451,-1.0,0,1720639800,2024-07-10 19:30:00,231.75999451,0.0,10096.82082088,0.0,10096.82082088,0.00968,1720639800,2024-07-10 19:30:00
LONG,BUY,232.91000366,228.25180359,0,1720641600,2024-07-10 20:00:00,232.91000366,43.35073918,0.0,0.0,10096.82082108,0.00968,1720641600,2024-07-10 20:00:00
CLOSE,SELL,228.8999939,-1.0,0,1720708200,2024-07-11 14:30:00,228.8999939,0.0,9922.98393386,0.0,9922.98393386,-0.0077,1720708200,2024-07-11 14:30:00
SHORT,SELL,228.8999939,233.47799378,0,1720708200,2024-07-11 14:30:00,228.8999939,0.0,19845.96786772,43.35073918,9922.98393386,-0.0077,1720708200,2024-07-11 14:30:00
COVER,BUY,226.66000366,-1.0,0,1720710000,2024-07-11 15:00:00,226.66000366,0.0,10020.08916652,0.0,10020.08916652,0.00201,1720710000,2024-07-11 15:00:00
LONG,BUY,226.66000366,222.12680359,0,1720710000,2024-07-11 15:00:00,226.66000366,44.20757524,0.0,0.0,10020.0891657,0.00201,1720710000,2024-07-11 15:00:00
CLOSE,SELL,226.61999512,-1.0,0,1720711800,2024-07-11 15:30:00,226.61999512,0.0,10018.32048516,0.0,10018.32048516,0.00183,1720711800,2024-07-11 15:30:00
SHORT,SELL,226.61999512,231.15239502,0,1720711800,2024-07-11 15:30:00,226.61999512,0.0,20036.64097032,44.20757524,10018.32048516,0.00183,1720711800,2024-07-11 15:30:00
COVER,BUY,227.72000122,-1.0,0,1720717200,2024-07-11 17:00:00,227.72000122,0.0,9969.691882730001,0.0,9969.69188273,-0.00303,1720717200,2024-07-11 17:00:00
SHORT,SELL,227.97999573,232.53959564,0,1720719000,2024-07-11 17:30:00,227.97999573,0.0,19939.383765460003,43.73055562,9969.69188194,-0.00303,1720719000,2024-07-11 17:30:00
COVER,BUY,226.82000732,-1.0,0,1720720800,2024-07-11 18:00:00,226.82000732,0.0,10020.418819620003,0.0,10020.41881962,0.00204,1720720800,2024-07-11 18:00:00
LONG,BUY,226.82000732,222.28360717,0,1720720800,2024-07-11 18:00:00,226.82000732,44.17784365,0.0,0.0,10020.41882007,0.00204,1720720800,2024-07-11 18:00:00
CLOSE,SELL,231.3500061,-1.0,0,1720792800,2024-07-12 14:00:00,231.3500061,0.0,10220.54439791,0.0,10220.54439791,0.02205,1720792800,2024-07-12 14:00:00
LONG,BUY,230.88000488,226.26240478,0,1720794600,2024-07-12 14:30:00,230.88000488,44.26777626,0.0,0.0,10220.54439894,0.02205,1720794600,2024-07-12 14:30:00
CLOSE,SELL,231.8500061,-1.0,0,1720796400,2024-07-12 15:00:00,231.8500061,0.0,10263.48419591,0.0,10263.48419591,0.02635,1720796400,2024-07-12 15:00:00
SHORT,SELL,231.8500061,236.48700622,0,1720796400,2024-07-12 15:00:00,231.8500061,0.0,20526.96839182,44.26777626,10263.48419591,0.02635,1720796400,2024-07-12 15:00:00
COVER,BUY,236.53199768,-1.0,2,1721052000,2024-07-15 14:00:00,234.49009705,0.0,10056.22284019,0.0,10056.22284019,0.00562,1721052000,2024-07-15 14:00:00
LONG,BUY,234.7901001,230.0942981,0,1721053800,2024-07-15 14:30:00,234.7901001,42.83069361,0.0,0.0,10056.22284004,0.00562,1721053800,2024-07-15 14:30:00
CLOSE,SELL,235.6000061,-1.0,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,10090.91167578,0.0,10090.91167578,0.00909,1721057400,2024-07-15 15:30:00
SHORT,SELL,235.6000061,240.31200622,0,1721057400,2024-07-15 15:30:00,235.6000061,0.0,20181.82335156,42.83069361,10090.91167578,0.00909,1721057400,2024-07-15 15:30:00
COVER,BUY,233.91000366,-1.0,0,1721145600,2024-07-16 16:00:00,233.91000366,0.0,10163.295652480001,0.0,10163.29565248,0.01633,1721145600,2024-07-16 16:00:00
LONG,BUY,233.91000366,229.23180359,0,1721145600,2024-07-16 16:00:00,233.91000366,43.44959811,0.0,0.0,10163.29565294,0.01633,1721145600,2024-07-16 16:00:00
CLOSE,SELL,229.23180359,-1.0,1,1721224800,2024-07-17 14:00:00,229.00999451,0.0,9960.02974002,0.0,9960.02974002,-0.004,1721224800,2024-07-17 14:00:00
SHORT,SELL,227.77000427,232.32540436,0,1721228400,2024-07-17 15:00:00,227.77000427,0.0,19920.05948004,43.72845218,9960.02974028,-0.004,1721228400,2024-07-17 15:00:00
COVER,BUY,222.99000549,-1.0,0,1721316600,2024-07-18 15:30:00,222.99000549,0.0,10169.051688349999,0.0,10169.05168835,0.01691,1721316600,2024-07-18 15:30:00
SHORT,SELL,223.49000549,227.9598056,0,1721318400,2024-07-18 16:00:00,223.49000549,0.0,20338.103376699997,45.50114743,10169.05168777,0.01691,1721318400,2024-07-18 16:00:00
COVER,BUY,224.60009766,-1.0,0,1721327400,2024-07-18 18:30:00,224.60009766,0.0,10118.541220279998,0.0,10118.54122028,0.01185,1721327400,2024-07-18 18:30:00
