action,operation,operation_price,operation_stop_price,operation_end_type,unix,date,price,base,quote,debt_base,total_quote,gain,run_unix,run_date
LONG,BUY,224.72000122,223.59640121,0,1720193400,2024-07-05 15:30:00,224.72000122,44.49982176,0.0,0.0,10000.0000002,0.0,1720193400,2024-07-05 15:30:00
CLOSE,SELL,226.30999756,-1.0,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,10070.75455393,0.0,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
SHORT,SELL,226.30999756,227.44154755,0,1720209600,2024-07-05 20:00:00,226.30999756,0.0,20141.50910786,44.49982176,10070.75455393,0.00708,1720209600,2024-07-05 20:00:00
COVER,BUY,227.33000183,-1.0,0,1720463400,2024-07-08 18:30:00,227.33000183,0.0,10025.364545720002,0.0,10025.36454572,0.00254,1720463400,2024-07-08 18:30:00
SHORT,SELL,226.82499695,227.95912193,0,1720467000,2024-07-08 19:30:00,226.82499695,0.0,20050.729091440004,44.19867599,10025.36454481,0.00254,1720467000,2024-07-08 19:30:00
COVER,BUY,228.18499756,-1.0,2,1720533600,2024-07-09 14:00:00,228.17500305,0.0,9965.254318510004,0.0,9965.25431851,-0.00347,1720533600,2024-07-09 14:00:00
SHORT,SELL,231.30130005,232.45780655,0,1720620000,2024-07-10 14:00:00,231.30130005,0.0,19930.508637020008,43.0834341,9965.25431907,-0.00347,1720620000,2024-07-10 14:00:00
COVER,BUY,231.1000061,-1.0,0,1720621800,2024-07-10 14:30:00,231.1000061,0.0,9973.926753700009,0.0,9973.9267537,-0.00261,1720621800,2024-07-10 14:30:00
LONG,BUY,231.1000061,229.94450607,0,1720621800,2024-07-10 14:30:00,231.1000061,43.15848763,0.0,0.0,9973.92675456,-0.00261,1720621800,2024-07-10 14:30:00
CLOSE,SELL,232.19500732,-1.0,0,1720629000,2024-07-10 16:30:00,232.19500732,0.0,10021.18535117,0.0,10021.18535117,0.00212,1720629000,2024-07-10 16:30:00
SHORT,SELL,232.19500732,233.35598236,0,1720629000,2024-07-10 16:30:00,232.19500732,0.0,20042.37070234,43.15848763,10021.18535117,0.00212,1720629000,2024-07-10 16:30:00
COVER,BUY,231.32400513,-1.0,0,1720630800,2024-07-10 17:00:00,231.32400513,0.0,10058.776488409998,0.0,10058.77648841,0.00588,1720630800,2024-07-10 17:00:00
LONG,BUY,231.32400513,230.1673851,0,1720630800,2024-07-10 17:00:00,231.32400513,43.48349616,0.0,0.0,10058.77648879,0.00588,1720630800,2024-07-10 17:00:00
CLOSE,SELL,231.96000671,-1.0,0,1720634400,2024-07-10 18:00:00,231.96000671,0.0,10086.43206105,0.0,10086.43206105,0.00864,1720634400,2024-07-10 18:00:00
SHORT,SELL,231.96000671,233.11980674,0,1720634400,2024-07-10 18:00:00,231.96000671,0.0,20172.8641221,43.48349616,10086.43206105,0.00864,1720634400,2024-07-10 18:00:00
COVER,BUY,228.8999939,-1.0,0,1720708200,2024-07-11 14:30:00,228.8999939,0.0,10219.49211633,0.0,10219.49211633,0.02195,1720708200,2024-07-11 14:30:00
SHORT,SELL,226.66000366,227.79330368,0,1720710000,2024-07-11 15:00:00,226.66000366,0.0,20438.98423266,45.08732,10219.49211644,0.02195,1720710000,2024-07-11 15:00:00
COVER,BUY,227.79330368,-1.0,1,1720715400,2024-07-11 16:30:00,227.76579285,0.0,10168.39465578,0.0,10168.39465578,0.01684,1720715400,2024-07-11 16:30:00
LONG,BUY,226.82000732,225.68590728,0,1720720800,2024-07-11 18:00:00,226.82000732,44.83023687,0.0,0.0,10168.39465501,0.01684,1720720800,2024-07-11 18:00:00
CLOSE,SELL,230.88000488,-1.0,0,1720794600,2024-07-12 14:30:00,230.88000488,0.0,10350.40530732,0.0,10350.40530732,0.03504,1720794600,2024-07-12 14:30:00
SHORT,SELL,230.88000488,232.0344049,0,1720794600,2024-07-12 14:30:00,230.88000488,0.0,20700.81061464,44.83023687,10350.40530732,0.03504,1720794600,2024-07-12 14:30:00
COVER,BUY,232.0344049,-1.0,1,1720796400,2024-07-12 15:00:00,231.8500061,0.0,10298.65328098,0.0,10298.65328098,0.02987,1720796400,2024-07-12 15:00:00
LONG,BUY,231.8598938,230.70059433,0,1720812600,2024-07-12 19:30:00,231.8598938,44.41757094,0.0,0.0,10298.653281,0.02987,1720812600,2024-07-12 19:30:00
CLOSE,SELL,230.70059433,-1.0,1,1720814400,2024-07-12 20:00:00,230.57000732,0.0,10247.16001455,0.0,10247.16001455,0.02472,1720814400,2024-07-12 20:00:00
SHORT,SELL,229.00999451,230.15504448,0,1721224800,2024-07-17 14:00:00,229.00999451,0.0,20494.3200291,44.74547077,10247.16001371,0.02472,1721224800,2024-07-17 14:00:00
COVER,BUY,230.34500122,-1.0,2,1721311200,2024-07-18 14:00:00,227.02999878,0.0,10187.42450999,0.0,10187.42450999,0.01874,1721311200,2024-07-18 14:00:00
LONG,BUY,224.21000671,223.08895668,0,1721322000,2024-07-18 17:00:00,224.21000671,45.43697518,0.0,0.0,10187.42450999,0.01874,1721322000,2024-07-18 17:00:00
CLOSE,SELL,224.69000244,-1.0,0,1721325600,2024-07-18 18:00:00,224.69000244,0.0,10209.23406406,0.0,10209.23406406,0.02092,1721325600,2024-07-18 18:00:00
SHORT,SELL,224.78500366,225.90892868,0,1721329200,2024-07-18 19:00:00,224.78500366,0.0,20418.46812812,45.41777208,10209.23406489,0.02092,1721329200,2024-07-18 19:00:00
COVER,BUY,225.90892868,-1.0,1,1721397600,2024-07-19 14:00:00,225.82000732,0.0,10158.18789449,0.0,10158.18789449,0.01582,1721397600,2024-07-19 14:00:00
LONG,BUY,226.71000671,225.57645668,0,1721656800,2024-07-22 14:00:00,226.71000671,44.80696746,0.0,0.0,10158.18789351,0.01582,1721656800,2024-07-22 14:00:00
CLOSE,SELL,225.94000244,-1.0,0,1721660400,2024-07-22 15:00:00,225.94000244,0.0,10123.68633724,0.0,10123.68633724,0.01237,1721660400,2024-07-22 15:00:00
SHORT,SELL,225.94000244,227.06970245,0,1721660400,2024-07-22 15:00:00,225.94000244,0.0,20247.37267448,44.80696746,10123.68633724,0.01237,1721660400,2024-07-22 15:00:00
COVER,BUY,224.0007019,-1.0,0,1721664000,2024-07-22 16:00:00,224.0007019,0.0,10210.58051343,0.0,10210.58051343,0.02106,1721664000,2024-07-22 16:00:00
LONG,BUY,224.0007019,222.88069839,0,1721664000,2024-07-22 16:00:00,224.0007019,45.58280589,0.0,0.0,10210.58051393,0.02106,1721664000,2024-07-22 16:00:00
CLOSE,SELL,224.27000427,-1.0,0,1721667600,2024-07-22 17:00:00,224.27000427,0.0,10222.85607159,0.0,10222.85607159,0.02229,1721667600,2024-07-22 17:00:00
LONG,BUY,224.67999268,223.55659272,0,1721676600,2024-07-22 19:30:00,224.67999268,45.49962794,0.0,0.0,10222.8560725,0.02229,1721676600,2024-07-22 19:30:00
CLOSE,SELL,223.55659272,-1.0,1,1721743200,2024-07-23 14:00:00,224.1499939,0.0,10171.74179229,0.0,10171.74179229,0.01717,1721743200,2024-07-23 14:00:00
SHORT,SELL,226.61000061,227.74305061,0,1721750400,2024-07-23 16:00:00,226.61000061,0.0,20343.48358458,44.88655295,10171.7417932,0.01717,1721750400,2024-07-23 16:00:00
COVER,BUY,225.63989258,-1.0,0,1721752200,2024-07-23 16:30:00,225.63989258,0.0,10215.28659866,0.0,10215.28659866,0.02153,1721752200,2024-07-23 16:30:00
LONG,BUY,225.63989258,224.51169312,0,1721752200,2024-07-23 16:30:00,225.63989258,45.27252022,0.0,0.0,10215.28659927,0.02153,1721752200,2024-07-23 16:30:00
CLOSE,SELL,224.51169312,-1.0,1,1721759400,2024-07-23 18:30:00,224.53999329,0.0,10164.2101664,0.0,10164.2101664,0.01642,1721759400,2024-07-23 18:30:00
SHORT,SELL,220.88999939,221.99444939,0,1721831400,2024-07-24 14:30:00,220.88999939,0.0,20328.4203328,46.01480463,10164.21016615,0.01642,1721831400,2024-07-24 14:30:00
COVER,BUY,218.67500305,-1.0,0,1721835000,2024-07-24 15:30:00,218.67500305,0.0,10266.13278999,0.0,10266.13278999,0.02661,1721835000,2024-07-24 15:30:00
LONG,BUY,218.67500305,217.58162803,0,1721835000,2024-07-24 15:30:00,218.67500305,46.94698821,0.0,0.0,10266.13279001,0.02661,1721835000,2024-07-24 15:30:00
